row_num,Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date
62,UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,2021-01-01
63,Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000,2023-07-29
64,FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,208000,2022-02-04
65,HealthWorks,SaaS,B2B SaaS,Hyderabad,Info Edge,Bridge,145000,2021-06-26
66,HealthRise,SaaS,B2B SaaS,Noida,LCatterton,Bridge,1271000,2023-10-13
67,InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,2022-10-21
68,UrbanSolutions,Media,Content,Pune,Sequoia Capital India,Bridge,168000,2022-07-05
69,GrowthConnect,Media,Content,Ahmedabad,Y Combinator,Bridge,1071000,2023-07-08
70,DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,1129000,2022-04-18
71,AeroHub,E-commerce,D2C,Ahmedabad,Accel,Bridge,60000,2023-08-01
72,NeoTech,SaaS,DevTools,Chennai,Matrix Partners India,Bridge,121000,2023-09-09
73,Porter,HealthTech,Diagnostics,Kolkata,IFC,Bridge,1201000,2022-08-23
74,SmartCare,HealthTech,Diagnostics,Noida,"Info Edge, Sequoia Capital India",Bridge,84000,2025-05-22
75,AeroStack,Mobility,EV,Pune,"IFC, Peak XV",Bridge,1790000,2024-07-02
76,AgriFit,Mobility,EV,Hyderabad,"Elevation Capital, IFC, Zodius Capital",Bridge,70000,2022-12-02
77,CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,208000,2020-10-19
78,QuantumSolutions,Logistics,Fleet Management,Kolkata,Prosus Ventures,Bridge,366000,2023-10-05
79,WorkFit,FoodTech,Food Delivery,Ahmedabad,Tiger Global,Bridge,219000,2024-02-27
80,Udaan,FoodTech,Food Delivery,Gurugram,Bessemer Venture Partners,Bridge,1256000,2023-08-04
81,Nykaa,Retail,Grocery,Delhi,IFC,Bridge,59000,2025-06-24
82,CureFit,RealEstate,Home Services,Noida,Kalaari Capital,Bridge,189000,2021-10-03
83,HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,1461000,2024-12-06
84,WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,2021-11-10
85,HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,1426000,2023-12-01
86,InMobi,HealthTech,Pharmacy,Chennai,"Mirae Asset, Ribbit Capital, Y Combinator",Bridge,55000,2024-09-02
87,MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,2022-08-10
88,HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,127000,2023-07-10
89,NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,2021-02-12
90,BlueTech,Mobility,Ride Sharing,Kolkata,"Bessemer Venture Partners, Zodius Capital",Bridge,1333000,2021-03-05
91,WorkPay_557,Mobility,Ride Sharing,Delhi,Nexus Venture Partners,Bridge,56000,2021-07-31
92,GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,1769000,2020-02-01
93,Groww,Enterprise,Security,Mumbai,"Accel, Kedaara Capital",Bridge,307000,2025-05-21
94,AgriFit,AgriTech,Smart Farming,Delhi,Mirae Asset,Bridge,137000,2023-10-31
95,FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,474000,2022-07-11
96,SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,2024-04-06
97,FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000,2025-01-16
98,MediHive,EdTech,Test Prep,Noida,IFC,Bridge,1758000,2023-06-21
99,CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,2022-12-10
100,HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,2021-06-01
101,Postman,Consumer Electronics,Wearables,Mumbai,"IFC, Omidyar Network",Bridge,117000,2024-05-19
102,HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,2022-09-29
103,DriveFit,Enterprise,Automation,Delhi,"Prosus Ventures, SoftBank Vision Fund",Debt,2677000,2023-01-27
104,NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,19590000,2022-03-24
105,Ola,EdTech,Coding Bootcamp,Hyderabad,IFC,Debt,28306000,2022-05-26
106,HealthWorks_839,EdTech,Coding Bootcamp,Pune,"Omidyar Network, Tiger Global Management, Ventures India",Debt,5087000,2025-04-07
107,FarmBox,SaaS,DevTools,Bengaluru,"Accel, Info Edge, Prosus Ventures",Debt,3755000,2022-10-03
108,Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,2025-05-07
109,BigBasket,HealthTech,Diagnostics,Delhi,"Accel, Sequoia Capital India, Ventures India",Debt,254000,2022-05-20
110,Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,2024-11-10
111,Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,2020-07-23
112,NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,2025-02-05
113,WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,2021-02-08
114,AgriHive,E-commerce,Marketplace,Noida,Mirae Asset,Debt,201000,2024-03-17
115,NimbusLabs,AgriTech,Marketplace,Noida,"Falcon Edge, Kalaari Capital",Debt,1018000,2020-03-16
116,Unacademy,FinTech,Payments,Chennai,"Elevation Capital, Kedaara Capital, Prosus Ventures",Debt,26070000,2020-11-26
117,EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,7325000,2021-07-16
118,FoodLoop,Media,Social,Hyderabad,"Mirae Asset, Zodius Capital",Debt,22303000,2023-12-17
119,CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000,2023-09-17
120,WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,3529000,2025-01-02
121,QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,2021-09-17
122,HealthRise,Consumer Electronics,Wearables,Delhi,Zodius Capital,Debt,3346000,2023-11-02
123,SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,183477000,2022-05-15
124,HomeFoods,Enterprise,Automation,Kolkata,Mirae Asset,Growth,407801000,2021-03-19
125,CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,138147000,2024-02-27
126,GrowthCare,FoodTech,Cloud Kitchen,Delhi,"Prosus Ventures, Zodius Capital",Growth,382414000,2021-09-26
127,BlueRise,SaaS,DevTools,Chennai,"Lightspeed India, Peak XV",Growth,165015000,2025-04-18
128,NextSense,Mobility,EV,Kolkata,Accel,Growth,533548000,2022-10-15
129,Paytm,Mobility,EV,Pune,"Info Edge, Peak XV",Growth,438231000,2023-11-29
130,EduTech,Mobility,EV,Pune,SoftBank Vision Fund,Growth,288051000,2020-09-27
131,NeoLabs_904,Mobility,EV,Mumbai,A91 Partners,Growth,152047000,2022-05-05
132,FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,154344000,2024-01-16
133,NeoLabs,FoodTech,Food Delivery,Chennai,Zodius Capital,Growth,124717000,2024-08-06
134,DataEdge,E-commerce,Grocery,Hyderabad,"Falcon Edge, Sequoia Capital India",Growth,160008000,2020-08-05
135,MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000,2020-06-02
136,Bounce,AgriTech,Marketplace,Pune,Kalaari Capital,Growth,556750000,2020-01-26
137,Zomato,AgriTech,Marketplace,Noida,"A91 Partners, Bessemer Venture Partners, Matrix Partners India",Growth,58010000,2024-02-29
138,CoreConnect,AgriTech,Marketplace,Bengaluru,"Lightspeed India, Peak XV, Zodius Capital",Growth,113169000,2024-01-30
139,Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,76432000,2024-02-15
140,Lenskart,FinTech,Payments,Pune,"IFC, Mirae Asset",Growth,197383000,2021-10-28
141,Wakefit,HealthTech,Pharmacy,Ahmedabad,"Elevation Capital, Omidyar Network, Prosus Ventures",Growth,411602000,2020-04-20
142,QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,2020-03-14
143,BharatPe,Consumer Electronics,Smart Home,Pune,"IFC, Kalaari Capital, Sequoia Capital India",Growth,566555000,2024-04-19
144,CoreSpace,EdTech,Test Prep,Bengaluru,"Kalaari Capital, Y Combinator",Growth,574676000,2024-02-04
145,QuantumAnalytics_589,FinTech,WealthTech,Pune,"Nexus Venture Partners, Peak XV",Growth,74657000,2022-06-08
146,FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,2025-01-22
147,GrowthConnect,Consumer Electronics,Wearables,Bengaluru,"Falcon Edge, Tiger Global Management",Growth,419740000,2021-05-18
148,GreenMart,Consumer Electronics,Audio,Mumbai,"Falcon Edge, Prosus Ventures",Pre-Seed,178000,2023-08-07
149,Dream11,Consumer Electronics,Audio,Ahmedabad,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Pre-Seed,52000,2020-07-23
150,DriveEdge,SaaS,B2B SaaS,Ahmedabad,IFC,Pre-Seed,29000,2022-11-11
151,FoodFit,EdTech,Coding Bootcamp,Mumbai,Kalaari Capital,Pre-Seed,158000,2021-03-02
152,Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,2023-07-14
153,FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000,2023-12-05
154,FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,25000,2021-03-05
155,CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,2022-12-29
156,PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,149000,2024-10-24
157,LogiMart,SaaS,DevTools,Ahmedabad,"Ribbit Capital, SoftBank Vision Fund, Tiger Global Management",Pre-Seed,76000,2023-08-14
158,Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,127000,2020-06-09
159,NimbusWorks,Mobility,EV,Kolkata,"Falcon Edge, Lightspeed India, Peak XV",Pre-Seed,21000,2025-01-13
160,CureFit,Mobility,EV,Kolkata,"Blume Ventures, Y Combinator",Pre-Seed,122000,2023-07-30
161,UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,43000,2020-01-09
162,Dream11,Retail,Fashion,Noida,Prosus Ventures,Pre-Seed,187000,2020-05-14
163,Byju's,Retail,Fashion,Ahmedabad,Y Combinator,Pre-Seed,24000,2024-10-03
164,FreshTech,Retail,Fashion,Delhi,"Matrix Partners India, Omidyar Network",Pre-Seed,135000,2024-12-28
165,CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,154000,2022-10-13
166,Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,26000,2020-10-22
167,DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,64000,2023-12-20
168,PhonePe,FoodTech,Grocery,Noida,Elevation Capital,Pre-Seed,38000,2020-12-14
169,WorkStack,SaaS,HRTech,Pune,IFC,Pre-Seed,27000,2020-09-05
170,DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,2024-03-28
171,SmartCare,FinTech,InsurTech,Ahmedabad,"Blume Ventures, Nexus Venture Partners, Tiger Global",Pre-Seed,36000,2023-12-07
172,WorkPay,FinTech,InsurTech,Bengaluru,"Falcon Edge, Sequoia Capital India, Ventures India",Pre-Seed,29000,2022-08-21
173,CoreFlow,EdTech,K12,Pune,"Peak XV, Y Combinator",Pre-Seed,105000,2020-10-25
174,Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,114000,2024-10-14
175,HomeAnalytics,Logistics,Last Mile,Bengaluru,Peak XV,Pre-Seed,64000,2020-07-07
176,WorkFit,Logistics,Last Mile,Pune,"Mirae Asset, Ventures India",Pre-Seed,42000,2021-04-25
177,AgriHive,FinTech,Lending,Mumbai,"Mirae Asset, Omidyar Network",Pre-Seed,34000,2023-09-13
178,NextStack,SaaS,MarTech,Ahmedabad,"Kalaari Capital, Mirae Asset",Pre-Seed,68000,2023-12-20
179,CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000,2024-12-26
180,AgriSense,Mobility,Micro Mobility,Mumbai,Blume Ventures,Pre-Seed,146000,2025-04-04
181,NextStack,Mobility,Micro Mobility,Pune,"Mirae Asset, Y Combinator",Pre-Seed,192000,2020-03-18
182,LogiSense,FinTech,NeoBank,Hyderabad,"A91 Partners, Sequoia Capital India",Pre-Seed,112000,2022-10-16
183,BlueTech,FinTech,Payments,Mumbai,"Accel, Info Edge",Pre-Seed,53000,2020-07-19
184,Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,2024-09-07
185,Swiggy,HealthTech,Pharmacy,Bengaluru,SoftBank Vision Fund,Pre-Seed,142000,2024-07-27
186,AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,127000,2024-06-05
187,GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,20000,2021-07-13
188,Byju's,RealEstate,Rental Tech,Mumbai,Omidyar Network,Pre-Seed,164000,2022-06-03
189,Zomato,RealEstate,Rental Tech,Delhi,"Blume Ventures, Mirae Asset",Pre-Seed,63000,2023-11-12
190,HealthAnalytics,Mobility,Ride Sharing,Hyderabad,IFC,Pre-Seed,86000,2021-03-30
191,Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,2024-04-28
192,SmartMart,AgriTech,Smart Farming,Delhi,"Elevation Capital, Matrix Partners India",Pre-Seed,148000,2025-03-26
193,HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,20000,2021-10-04
194,GrowthCare,AgriTech,Supply Chain,Chennai,A91 Partners,Pre-Seed,100000,2020-03-29
195,CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000,2020-04-13
196,Myntra,EdTech,Test Prep,Noida,A91 Partners,Pre-Seed,37000,2023-03-26
197,CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,2020-05-03
198,LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,2023-07-06
199,Mobikwik,Enterprise,Analytics,Noida,"Blume Ventures, Mirae Asset",Pre-Series A,147000,2020-04-14
200,DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,266000,2023-12-04
201,NeoSense_1062,Enterprise,Automation,Delhi,Kalaari Capital,Pre-Series A,587000,2023-12-06
202,Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,191000,2022-03-24
203,DriveFit,SaaS,B2B SaaS,Pune,Y Combinator,Pre-Series A,417000,2024-01-06
204,Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,209000,2023-03-14
205,AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,2021-07-24
206,CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,181000,2023-03-18
207,HealthAnalytics,EdTech,Coding Bootcamp,Ahmedabad,"A91 Partners, Y Combinator",Pre-Series A,193000,2021-10-13
208,Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,175000,2023-10-17
209,Groww,E-commerce,D2C,Delhi,"Blume Ventures, Kalaari Capital, Y Combinator",Pre-Series A,645000,2024-05-24
210,Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,426000,2024-03-29
211,AgriSense,E-commerce,D2C,Pune,"Peak XV, Zodius Capital",Pre-Series A,105000,2023-03-11
212,NimbusMart,E-commerce,D2C,Delhi,Y Combinator,Pre-Series A,356000,2021-10-25
213,Freshworks,E-commerce,D2C,Mumbai,Nexus Venture Partners,Pre-Series A,972000,2021-11-14
214,CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,2023-10-07
215,Licious,HealthTech,Diagnostics,Hyderabad,Matrix Partners India,Pre-Series A,119000,2023-04-07
216,Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,140000,2021-01-04
217,DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,2020-05-23
218,FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,864000,2025-04-28
219,DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,312000,2023-01-25
220,SkillRise,Retail,Fashion,Ahmedabad,"Blume Ventures, IFC, Prosus Ventures",Pre-Series A,288000,2022-07-28
221,SkillFlow,Retail,Fashion,Chennai,"Peak XV, Tiger Global Management",Pre-Series A,886000,2023-09-27
222,SkillFlow_806,Retail,Fashion,Kolkata,Ribbit Capital,Pre-Series A,860000,2021-12-12
223,NeoTech,Logistics,Fleet Management,Gurugram,"Kalaari Capital, Mirae Asset, Prosus Ventures",Pre-Series A,132000,2023-06-20
224,QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,528000,2023-10-30
225,DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,196000,2020-03-18
226,NoBroker,FoodTech,Grocery,Chennai,Falcon Edge,Pre-Series A,383000,2023-08-31
227,MediHive,E-commerce,Grocery,Bengaluru,"Accel, Bessemer Venture Partners, Kalaari Capital",Pre-Series A,411000,2021-02-24
228,UrbanSolutions,FoodTech,Grocery,Hyderabad,"Kedaara Capital, Ventures India",Pre-Series A,142000,2023-02-12
229,Delhivery,FoodTech,Grocery,Delhi,"Info Edge, Ventures India",Pre-Series A,313000,2021-01-02
230,FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,110000,2020-05-18
231,QuantumAnalytics,SaaS,HRTech,Chennai,Matrix Partners India,Pre-Series A,837000,2023-09-16
232,NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,2021-06-13
233,Meesho,RealEstate,Home Services,Pune,"Falcon Edge, Tiger Global Management",Pre-Series A,739000,2021-03-23
234,NeoTech,RealEstate,Home Services,Gurugram,"Accel, Lightspeed India, Ribbit Capital",Pre-Series A,103000,2020-04-16
235,Byju's,RealEstate,Home Services,Ahmedabad,Kalaari Capital,Pre-Series A,279000,2020-05-17
236,SmartTech,FinTech,InsurTech,Chennai,"A91 Partners, Sequoia Capital India, SoftBank Vision Fund",Pre-Series A,131000,2024-06-02
237,DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,771000,2020-04-13
238,Zepto,Logistics,Last Mile,Mumbai,Y Combinator,Pre-Series A,268000,2025-06-07
239,CoreSpace,SaaS,MarTech,Ahmedabad,Zodius Capital,Pre-Series A,377000,2023-03-18
240,Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,2025-01-31
241,Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,439000,2021-08-14
242,SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,168000,2025-06-30
243,FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,2022-05-29
244,DataEdge,Mobility,Micro Mobility,Noida,Y Combinator,Pre-Series A,736000,2020-02-23
245,Meesho,Mobility,Micro Mobility,Kolkata,Info Edge,Pre-Series A,349000,2023-04-22
246,LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,2023-04-10
247,PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,497000,2020-02-04
248,SmartCare,FinTech,NeoBank,Ahmedabad,Elevation Capital,Pre-Series A,426000,2023-01-26
